bool_is_main,node_receipt_timestamp,unk,major_version,minor_version,miner_reported_timestamp,nonce
1,1551680967534,0,10,10,1551680099,805374039
1,1551680967634,0,10,10,1551680127,709894
1,1551680967647,0,10,10,1551680220,3607114846
1,1551680967652,0,10,10,1551680226,1288495476
1,1551680967658,0,10,10,1551680233,402699573
1,1551680967697,0,10,10,1551680296,100742938
1,1551680967779,0,10,10,1551680330,99804
1,1551680967910,0,10,10,1551680696,3636499148
1,1551680968020,0,10,10,1551680801,2684626438
1,1551681056808,0,10,10,1551680937,3579202161
1,1551681162037,0,10,10,1551681056,233319
1,1551681674621,0,10,10,1551681640,122913
1,1551681696738,0,10,10,1551681674,1744830564
1,1551681805303,0,10,10,1551681696,2634224227
1,1551681884565,0,10,10,1551681805,1038419
1,1551681955885,0,10,10,1551681884,449230
1,1551681964151,0,10,10,1551681955,18459
1,1551682137448,0,10,10,1551681964,2902604705
1,1551682274933,0,10,10,1551682137,1174789386
1,1551682400099,0,10,10,1551682371,175050
1,1551682525566,0,10,10,1551682493,193000
1,1551682545739,0,10,10,1551682525,4009803233
1,1551682552132,0,10,10,1551682546,2863313083
1,1551682609282,0,10,10,1551682552,2248253692
1,1551682640304,0,10,10,1551682609,371568
1,1551682692614,0,10,10,1551682641,1644304405
1,1551682706221,0,10,10,1551682692,2147492495
1,1551682710168,0,10,10,1551682707,3338668392
1,1551682951260,0,10,10,1551682925,2483074214
1,1551683227679,0,10,10,1551682951,936282
1,1551683299808,0,10,10,1551683227,2600653959
1,1551683384740,0,10,10,1551683299,2376078075
1,1551683470959,0,10,10,1551683384,838976038
1,1551683883891,0,10,10,1551683471,483198
1,1551684121939,0,10,10,1551683883,3741319909
1,1551684168491,0,10,10,1551684121,4060202484
1,1551684206562,0,10,10,1551684168,4227961408
1,1551684218262,0,10,10,1551684206,1375751000
1,1551684268630,0,10,10,1551684218,67150
1,1551684338429,0,10,10,1551684268,1812121896
1,1551684619311,0,10,10,1551684338,2248147219
1,1551684696358,0,10,10,1551684619,1963284744
1,1551684985617,0,10,10,1551684696,273451
1,1551685022661,0,10,10,1551684985,49948
1,1551685443495,0,10,10,1551685239,772053908
1,1551685601795,0,10,10,1551685443,1293186
1,1551685645181,0,10,10,1551685601,54348
1,1551685937602,0,10,10,1551685645,5169478
1,1551686060694,0,10,10,1551686052,4143
1,1551686104118,0,10,10,1551686060,4261525410
1,1551686461902,0,10,10,1551686343,3321893531
1,1551686488733,0,10,10,1551686462,1073750853
1,1551686532316,0,10,10,1551686488,2863329288
1,1551686560697,0,10,10,1551686532,5400
1,1551686789198,0,10,10,1551686765,2382423330
1,1551687315626,0,10,10,1551687223,2013482789
1,1551687359758,0,10,10,1551687315,1929422520
1,1551687483634,0,10,10,1551687360,357941503
1,1551687759174,0,10,10,1551687713,3187744042
1,1551687799735,0,10,10,1551687758,4278247811
1,1551687963124,0,10,10,1551687800,3514123184
1,1551688066850,0,10,10,1551687963,11648
1,1551688109393,0,10,10,1551688066,3472920662
1,1551688134329,0,10,10,1551688108,2069892632
1,1551688323488,0,10,10,1551688133,185064117
1,1551688522174,0,10,10,1551688323,3641187763
1,1551688593072,0,10,10,1551688521,352505112
1,1551688849250,0,10,10,1551688822,2600512839
1,1551688911840,0,10,10,1551688848,4144021926
1,1551688949630,0,10,10,1551688911,1431686646
1,1551689233724,0,10,10,1551688949,648846
1,1551689251064,0,10,10,1551689233,3858798969
